fecha_hora,flujo_cond_klb_hr_value,flujo_cana_ton_value,jcla_c1_m3_hr_value,jcla_c2_m3_hr_value,jcla_c3_m3_hr_value,jcla_c4_m3_hr_value,cond_c1_m3_hr_value,cond_c2_m3_hr_value,cond_c3_m3_hr_value,cond_c4_m3_hr_value,brix_mel_value,Indicador_1,Indicador_2
2025-03-07 04:30:00,309.59659756695237,427.32841807551523,241.88392792942855,239.1419387672381,0.11733588297714286,0.115737602,77.74402346635239,85.666212440143,0.019633333333333336,6.862888485338095,66.97806706204761,723.384029239912,81.68492268041237
2025-03-07 06:30:00,310.31472304116807,422.8502553618385,263.9371420852439,260.9487086884622,0.11657348458,0.115737602,75.74387368520833,85.63090794339455,0.02098872222222222,4.969797004376111,62.69109659708334,721.7496750881759,83.86875343218011
2025-03-07 08:30:00,319.3264916566667,417.7816632622549,267.7379329093055,257.4220475006667,0.116364513935,0.115737602,77.491035181625,88.01897367530239,0.21179930235916666,7.047919682268611,64.79737966602778,755.734473705601,83.27164009111617
2025-03-07 10:30:00,325.76748248697874,,264.76900605055556,258.21438390994444,0.116975351205,0.115737602,79.61571228238888,90.3888121857069,0.08034713765805555,2.570550791025,63.55791728214583,800.1481760578409,84.28303905831996
2025-03-07 12:30:00,322.6841402857023,413.5745485285222,254.422981467679,248.0977392996378,0.11712426020117024,0.115737602,78.75971100329897,90.24049251084128,0.0007195040401225968,2.863006654743661,62.34632678543872,760.0171348777903,83.0397091722595
2025-03-07 14:30:00,314.5269039430359,421.2648632828166,259.03742108946346,253.28237921865443,0.11668679823185987,0.115737602,77.51011555707257,86.89544138050697,7.239366138448708e-05,0.024325954637475677,64.13760325333564,751.2647210152413,83.55263157894737
2025-03-07 16:30:00,319.61642469644187,408.80668741964473,242.3613384261111,234.0784964578611,0.11628414060999999,0.115737602,77.83123139485276,88.73625921118648,0.01749319472,-0.0217,64.35021265082638,762.1695557456932,82.52528256989888
2025-03-07 18:30:00,325.10401945728927,,235.57536978704528,237.36151313113368,0.11593049797999999,0.115737602,76.99031330950278,87.27804090795884,0.010416,-0.0217,63.90953454974306,769.2165216518334,83.17583046964491
2025-03-07 20:30:00,324.6372513382902,369.74155991551555,240.7476595646977,233.32795694856506,0.11588271739314572,0.115737602,79.89899390164112,90.18109178795004,0.02027308442463082,-0.0217,59.892985194970734,818.9137872753877,82.85923753665689
2025-03-07 22:30:00,308.9859139456389,342.5107367436344,228.23717138549998,223.47500304713887,0.115785825995,0.115737602,78.6893533155,85.95944666865833,0.02168191666666667,-0.0217,65.42798835425,898.4028284687192,81.97852760736197
2025-03-08 00:30:00,317.82599436050003,357.2762502095642,235.0637128461389,232.68294199255558,0.11583404999000001,0.115737602,79.46156422728333,89.62717266954141,0.021489027777777777,-0.0217,59.91112644135417,910.5941231956372,82.00061274509804
2025-03-08 02:30:00,317.10800532049996,,235.66728449533335,234.15894993608333,0.11673423123,0.115737602,79.52594327927501,89.2418794566,0.020819944444444446,-0.0217,64.37874464719445,887.8297427585713,82.5874333135744
2025-03-08 04:30:00,309.77283395057117,336.6294163734829,231.3626750361382,227.67822705293955,0.11599558492114795,0.115737602,78.54602857303428,85.52639995738646,0.02167581499024798,-0.0217,66.50951943875349,869.1696894944183,83.2939787485242
2025-03-08 06:30:00,304.72386155342707,346.2380322011944,136.96871665195974,225.74419838629868,86.15801271856111,0.13092816042888888,49.4418652091075,84.61228510765635,25.2545324414875,-0.01401454141111111,60.453539737180556,800.3622018374855,82.08841463414635
2025-03-08 08:30:00,306.841934978136,352.7415523821534,0.22345394422472223,216.1869098583611,222.96181939858332,0.15576351784999998,0.8286915780030555,78.7578302931043,86.89844622082501,-0.0002230277777777778,66.23459666305556,877.6515675335029,81.47856242118537
2025-03-08 10:30:00,312.25427131252775,,0.22499711243777776,220.09607602483334,227.08964914927776,0.15508838192000002,0.04823427777777778,80.4546819517471,90.98860094789444,0.01755353840472222,67.18374885448611,897.3473605746367,82.76115023474179
2025-03-08 12:30:00,308.8100112022848,344.19538413832004,0.22518686877570354,228.7068211643912,240.04788080078015,0.1560474334293675,0.0462961549178044,79.2358695986693,90.55556175421009,0.8489432626043466,63.75364670703136,878.6726703557736,84.02232951116476
2025-03-08 14:30:00,315.3007917118249,343.6130228556806,0.22385581094666665,224.90916898094443,234.40617844927777,0.135043274665,0.05736680543027778,81.12343578362622,92.05895669733889,-3.616666666666667e-05,66.87098121111111,907.9850914911461,81.62914321450907
2025-03-08 16:30:00,318.0897855211667,336.95188315528145,0.22572047253777777,240.7090233398889,249.87156752222222,0.14161781265,0.04798120663583333,81.33038106401898,93.73924950531666,8.944930883356111,66.48133593138193,922.0407139030708,82.05558949297496
2025-03-08 18:30:00,313.2161145019198,,0.2240647816422222,236.42608902466668,243.55366057133335,0.14574900155499998,2.415442897513889,81.38704757175482,92.56408495378332,16.173099473145832,65.3201317626875,937.8959571898146,82.27217863608932
2025-03-08 20:30:00,315.5463686715087,382.26918998209766,0.22529973633101144,234.35408434661466,239.74641166388966,0.1536127196110337,0.048037475619949845,80.3761719859707,91.7079654966453,-6.0462524380050156e-05,64.97963510324512,867.7138628962206,81.73135233474834
2025-03-08 22:30:00,312.73468699908057,390.3061034801128,0.22975521442888888,246.0391740589722,249.72377690252776,0.15811041894,0.04858991666666666,83.5204410389658,90.73788437226389,-3.616666666666667e-05,63.14191663010417,814.0455523826666,83.53419282511211
