FECHA/HORA;JCLARBX;MSCBXTA;JALCPH;JCLPHCL;MSCPHTA;JCLARPZ;MSCPZTA
09/03/domingo 16:30;;65,12;7,43;;6,21;;88,744
09/03/domingo 18:30;;65,36;7,61;7,16;6,17;;
09/03/domingo 20:30;12,05;65,48;7,79;;6,22;87,344;87,547
09/03/domingo 22:30;;67,96;7,85;7,11;6,25;;
09/03/domingo 00:30;;67;6,44;;6,09;;86,996
09/03/domingo 02:30;;71,4;8,2;7,5;5,86;;
09/03/domingo 04:30;11,92;70,4;7,41;;6,14;87,039;87,764
10/03/lunes 06:30;;65,88;7,99;7,54;6,27;;
10/03/lunes 08:30;;66,2;7,1;;6,84;;86,718
10/03/lunes 10:30;;64,92;7,56;7,41;6,07;;
10/03/lunes 12:30;12,33;64,56;7,48;;6,37;86,229;86,564
10/03/lunes 14:30;;63,04;7,51;7,51;6,34;;
10/03/lunes 16:30;;61,6;7,6;;6,25;;86,922
10/03/lunes 18:30;;66,56;7,85;7;6,21;;
10/03/lunes 20:30;11,48;65,88;7,75;;6,32;86,568;87,114
10/03/lunes 22:30;;67,04;7,24;7,82;6,37;;
10/03/lunes 00:30;;63,76;6,56;;6,16;;87,614
10/03/lunes 02:30;;69;7,84;6,91;5,83;;
10/03/lunes 04:30;11,94;67,16;7,04;;6,18;86,868;88,496
11/03/martes 06:30;;65;8,06;7,82;6,41;;
11/03/martes 08:30;;65;8,07;;6,53;;85,146
11/03/martes 10:30;;62,4;7,93;7,59;6,6;;
11/03/martes 12:30;12,29;61,28;7,41;7,52;6,66;85,696;87,172
11/03/martes 14:30;;62,6;7,3;7,27;6,37;;
11/03/martes 16:30;;66;7,72;;6,21;;86,195
11/03/martes 18:30;;62,08;7,86;7,37;6,26;;
11/03/martes 20:30;11,75;59,32;7,63;;6,49;85,123;86,074
11/03/martes 22:30;;63,6;7,24;6,94;6,5;;
11/03/martes 00:30;;63,24;7,5;;6,36;;86,885
11/03/martes 02:30;;60,72;7,58;6,92;6,28;;
11/03/martes 04:30;10,93;60,8;7,46;;6,26;86,093;86,701
12/03/miércoles 06:30;;63,16;7,21;7,12;6,3;;
12/03/miércoles 08:30;;61,64;7,59;;6,39;;86,882
12/03/miércoles 12:30;12,1;;;;;86,95;
12/03/miércoles 14:30;;60,68;8,29;7,83;7,51;;
12/03/miércoles 16:30;;60;6,86;;6,04;;84,865
